business_id,categories,name,photo_url,review_count,schools,stars,state,url
__PHRVOgyR-WgkKPHwnvoA,"Elementary Schools,Education,Preschools",Nierman Preschool,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of California - San Diego,4,CA,http://www.yelp.com/biz/nierman-preschool-la-jolla
9j6aqUdpPojPFkb265ep3w,"Car Wash,Automotive,Auto Detailing,Parking",Pasadena Towers Parking,http://s3-media1.ak.yelpcdn.com/bphoto/lZNZskNgHf-_sxM86UfefQ/ms.jpg,3,California Institute of Technology,5,CA,http://www.yelp.com/biz/pasadena-towers-parking-pasadena
MuTJSKkzF_fmK-eG8RoZSA,"Bars,Nightlife",Ryan's Wake,http://s3-media3.ak.yelpcdn.com/bphoto/8imop_iQ9xc3tj8bveUPrg/ms.jpg,10,Rensselaer Polytechnic Institute,3.5,NY,http://www.yelp.com/biz/ryans-wake-troy
EjgQxDOUS-GFLsNxoEFJJg,"Cheesesteaks,Sandwiches,Restaurants",Rick's Steaks,http://s3-media4.ak.yelpcdn.com/bphoto/SxGxfJGy9pXRgCNHTRDeBA/ms.jpg,43,University of Pennsylvania,3.5,PA,http://www.yelp.com/biz/ricks-steaks-philadelphia
zRvrZaXYgZtFaA-ZR93pfA,"Car Wash,Automotive",Sunset North Car Wash,http://s3-media1.ak.yelpcdn.com/bphoto/5M7OmiLFz4yMUAYznNzAgA/ms.jpg,3,California Polytechnic State University,2.5,CA,http://www.yelp.com/biz/sunset-north-car-wash-san-luis-obispo-2
ipTk8GbPjycGDqGgUZrl9w,"Arts & Crafts,Shopping",Pins and Needles,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,9,Princeton University,3.5,NJ,http://www.yelp.com/biz/pins-and-needles-princeton
8q_fyg8fkMeVx69jDhJ7jw,"Sandwiches,Restaurants",Jimmy John's,http://s3-media3.ak.yelpcdn.com/bphoto/SzzogZPKlX0mc2N4Ss8uNg/ms.jpg,23,Rice University,4,TX,http://www.yelp.com/biz/jimmy-johns-houston-3
iT581VVVGgpik06KplZOuQ,"Barbeque,Restaurants",South Street Smoke House,http://s3-media3.ak.yelpcdn.com/bphoto/94EI9Dx5dV8219t9IwPb3Q/ms.jpg,50,Purdue University,4,IN,http://www.yelp.com/biz/south-street-smoke-house-lafayette
QYOtmUPz0eTkV2sLuRHPvg,"Hair Salons,Beauty and Spas",Escape Salon,http://s3-media4.ak.yelpcdn.com/bphoto/39BFI7zc2QzbhMwa-zW7Bw/ms.jpg,13,Harvey Mudd College,4,CA,http://www.yelp.com/biz/escape-salon-claremont
UR9H6ZcjMjGhJmmITypI2A,"Wine Bars,Bars,Italian,Nightlife,Restaurants",Grappolo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,8,California Polytechnic State University,3.5,CA,http://www.yelp.com/biz/grappolo-san-luis-obispo
CyUfjTpoIgNghGlqfz9aEw,"Mexican,Restaurants",El Gallo Giro,http://s3-media1.ak.yelpcdn.com/bphoto/1uNp7G6zNhjdjJ1R_9XCmg/ms.jpg,3,University of Southern California,4,CA,http://www.yelp.com/biz/el-gallo-giro-los-angeles-2
jztBVgN-TAXhUKczMdB9zA,"Department Stores,Fashion,Shopping",TJ Maxx,http://s3-media4.ak.yelpcdn.com/bphoto/FbRx7SxuaOBwpqKXKw5_tw/ms.jpg,10,California Institute of Technology,4.5,CA,http://www.yelp.com/biz/tj-maxx-pasadena
X9Hna0jBuwkFi-PoTl1w6A,"Arts & Entertainment,Cinema",Palm Theatre,http://s3-media1.ak.yelpcdn.com/bphoto/S8UDtAlhMYKo07W2r7_g7Q/ms.jpg,81,California Polytechnic State University,4.5,CA,http://www.yelp.com/biz/palm-theatre-san-luis-obispo
h4IRxYZVDRheLduKfnMDkA,Nightlife,The 201,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,Brown University,4.5,RI,http://www.yelp.com/biz/the-201-providence-2
fRYyVkbsiUntbUTCItwVeA,"Food,Beer, Wine & Spirits",Springfield Beer Distributor,http://s3-media1.ak.yelpcdn.com/bphoto/Az1L7tkC4nbJpahfoSGOOg/ms.jpg,11,University of Pennsylvania,4,PA,http://www.yelp.com/biz/springfield-beer-distributor-philadelphia
JY576sTpB3ljay2IAajZ2w,"Food,Grocery,Delis,Restaurants",Milano Market,http://s3-media2.ak.yelpcdn.com/bphoto/PkHsY8-SoLvHISDqU95RDg/ms.jpg,76,Columbia University,4,NY,http://www.yelp.com/biz/milano-market-new-york
Q-aST5Z92-l8yq_NkbX7aQ,"Colleges & Universities,Education",Ithaca College,http://s3-media2.ak.yelpcdn.com/bphoto/esnDEzJoe9LKnO6oPlkVbQ/ms.jpg,5,Cornell University,5,NY,http://www.yelp.com/biz/ithaca-college-ithaca
X9OB8N7ZlmMlncHzeO_pmg,"Food,Shopping,Books, Mags, Music and Video,Internet Cafes,Bookstores",Buy the Book,http://s3-media4.ak.yelpcdn.com/bphoto/uJcfqUl17CngJNDzGN_VlA/ms.jpg,3,Purdue University,3,IN,http://www.yelp.com/biz/buy-the-book-lafayette
8Q5YPzkOmfVIvZeldC9o4Q,"Hotels & Travel,Car Rental",Enterprise Rent-A-Car,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,7,Harvey Mudd College,1,CA,http://www.yelp.com/biz/enterprise-rent-a-car-upland
mStLDG6jwFG_0qeLUJKmZw,"Shopping,Jewelry",Urban Jewelers,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,University of Michigan - Ann Arbor,4,MI,http://www.yelp.com/biz/urban-jewelers-ann-arbor
WC6y30BJZ8CLjJXDL_jaKg,"Soul Food,Restaurants",T & K's Soul Food Kitchen,http://s3-media1.ak.yelpcdn.com/bphoto/fdpHwVCv8AbghmS2JERoug/ms.jpg,6,Carnegie Mellon University,4,PA,http://www.yelp.com/biz/t-and-ks-soul-food-kitchen-pittsburgh
U-S4SIklb8vc4fLkoVPTCA,"Professional Services,Lawyers","Sullo & Sullo, LLP",http://s3-media2.ak.yelpcdn.com/bphoto/Lk9zXjzQIoYVLngU8Lh3Cg/ms.jpg,7,Rice University,3,TX,http://www.yelp.com/biz/sullo-and-sullo-llp-houston
oB0ogXCEgNOv1qPdDXUtnQ,"Bars,American (New),Nightlife,Lounges,Restaurants",Avidity Restaurant Ultra Lounge,http://s3-media1.ak.yelpcdn.com/bphoto/Yd4kcut1-3urS22gR3YkFg/ms.jpg,6,Purdue University,3,IN,http://www.yelp.com/biz/avidity-restaurant-ultra-lounge-lafayette
QbmyoM98Wfl015RQ8JK1qA,"Local Services,Automotive",Campus Cruiser at USC,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,7,University of Southern California,4,CA,http://www.yelp.com/biz/campus-cruiser-at-usc-los-angeles
iD6RCiqdOsjGGaQKG356zA,"Sporting Goods,Bikes,Shopping",LA Bicycles,http://s3-media2.ak.yelpcdn.com/bphoto/7xge88lHvix8LwGTShTzEg/ms.jpg,33,University of Southern California,3,CA,http://www.yelp.com/biz/la-bicycles-los-angeles
xbEoDp0TttnIl7BiNJWVUQ,"Mongolian,Restaurants",HuHot Mongolian Grill,http://s3-media3.ak.yelpcdn.com/bphoto/kDkiFkPVc-fWDN3nzn8Pew/ms.jpg,5,Purdue University,3.5,IN,http://www.yelp.com/biz/huhot-mongolian-grill-lafayette-2
4L8sk1KU1tsHEVImKgGv8Q,"Doctors,Health and Medical,Internal Medicine",Kyrouac Jeffrey MD,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,University of Illinois - Urbana-Champaign,5,IL,http://www.yelp.com/biz/kyrouac-jeffrey-md-urbana
OH0LxbsALqY9vk5dMKCZ3g,"Hair Salons,Tanning,Beauty and Spas",Puccini Hair Design,http://s3-media2.ak.yelpcdn.com/bphoto/MQmuV5XcIWjAJ8gH4tJL8Q/ms.jpg,11,Carnegie Mellon University,4,PA,http://www.yelp.com/biz/puccini-hair-design-pittsburgh
CrjZoiaRdFivE1esbkQ7sw,,Sharon's Hair Salon,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,"Massachusetts Institute of Technology,Harvard University",4,MA,http://www.yelp.com/biz/sharons-hair-salon-cambridge
cgoq8ACyJrSG1OBWcsKEUA,"Thai,Restaurants",Srida Thai Cuisine,http://s3-media1.ak.yelpcdn.com/bphoto/jfpHkMO074luhL8S50jz4Q/ms.jpg,32,Harvey Mudd College,4,CA,http://www.yelp.com/biz/srida-thai-cuisine-upland
oidBvZouxEal1NWe5ARrVw,"Indian,Restaurants",Mehak Cuisine,http://s3-media4.ak.yelpcdn.com/bphoto/H6uTFeNejggG_tskr4Dm0w/ms.jpg,14,Cornell University,3.5,NY,http://www.yelp.com/biz/mehak-cuisine-ithaca
dlN9tXw24o4gcREvSGNkgQ,"Nightlife,Bars,Pizza,Sports Bars,Restaurants",Rocky Mountain Pizza Company,http://s3-media3.ak.yelpcdn.com/bphoto/2H7keYecxZ9bZ48jaqKr_A/ms.jpg,93,Georgia Institute of Technology,3,GA,http://www.yelp.com/biz/rocky-mountain-pizza-company-atlanta
MnThD5q-m9oLigW5SoWMJQ,"Mediterranean,Restaurants",Khalil's,http://s3-media2.ak.yelpcdn.com/bphoto/W2DylDel2Q_Fd-kXHmipwA/ms.jpg,3,Carnegie Mellon University,3.5,PA,http://www.yelp.com/biz/khalils-pittsburgh
3k4K6l7SP7B4fzq9KpHy0A,"Italian,Pizza,Restaurants",Papa John's Pizza,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,University of North Carolina - Chapel Hill,3.5,NC,http://www.yelp.com/biz/papa-johns-pizza-chapel-hill
0ttf8ZaXC_67Tv1Gx47WBQ,"Hotels & Travel,Event Planning & Services,Hotels",Kendall Hotel,http://s3-media2.ak.yelpcdn.com/bphoto/jS9yS2y4MBNL6gYTm5RTjw/ms.jpg,37,"Massachusetts Institute of Technology,Harvard University",4,MA,http://www.yelp.com/biz/kendall-hotel-cambridge
EHMx2IhI-_ooHQo0N-AnHA,"Bars,American (New),Nightlife,Lounges,Restaurants",Svntn Below,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,Columbia University,3,NY,http://www.yelp.com/biz/svntn-below-new-york
QhAPtrNAliEQG-kFH9stCg,"Shopping,Flowers & Gifts,Nurseries & Gardening,Florists,Home & Garden",A New Leaf,http://s3-media2.ak.yelpcdn.com/bphoto/ViI-5YibHqjzkC7LTNActw/ms.jpg,3,Brown University,4.5,RI,http://www.yelp.com/biz/a-new-leaf-providence
Lp32rSc3OATt1P0Upa4Jxg,"Greek,Mediterranean,Restaurants",Parthenon Greek American Grill,http://s3-media4.ak.yelpcdn.com/bphoto/VGqzKXtMVlM_Hk3vqO1XYw/ms.jpg,22,Purdue University,3.5,IN,http://www.yelp.com/biz/parthenon-greek-american-grill-west-lafayette
cvvFEEEkZNyDbNy8UB6esw,,Google Inc,http://s3-media4.ak.yelpcdn.com/bphoto/msLux4WnRroX_aXWLc8nAQ/ms.jpg,2,"Massachusetts Institute of Technology,Harvard University",3,MA,http://www.yelp.com/biz/google-inc-cambridge
ui-X3rHtu8t6eVTEXx4bfg,"Doctors,Health and Medical,Cosmetic Surgeons","Daryl Hoffman, MD",http://s3-media1.ak.yelpcdn.com/bphoto/eRA_6UCKZTalG_fL2dlbjg/ms.jpg,9,Stanford University,4,CA,http://www.yelp.com/biz/daryl-hoffman-md-palo-alto-2
qTC7mSF4mdzUYRR9mdKTeQ,"Shopping,Eyewear & Opticians",LensCrafters,http://s3-media4.ak.yelpcdn.com/bphoto/wVokQtwjsNtRAvw8CVqd6Q/ms.jpg,6,Harvey Mudd College,3.5,CA,http://www.yelp.com/biz/lenscrafters-montclair
PBqjmOB7Yjti3cFqy8-Ctw,"Cafes,Sandwiches,Restaurants",Cubberley Cafe,http://s3-media3.ak.yelpcdn.com/bphoto/cymSVOW-Mn4c4j9wSJ-V4A/ms.jpg,10,Stanford University,3.5,CA,http://www.yelp.com/biz/cubberley-cafe-stanford
t8xAkCfZolJu3bvGk4C8_g,"Veterinarians,Pets",Lawrence Animal Hospital,http://s3-media4.ak.yelpcdn.com/bphoto/A-oKVTnA77N6eEmfGSz9Kw/ms.jpg,2,Princeton University,1,NJ,http://www.yelp.com/biz/lawrence-animal-hospital-princeton
81IjU5L-t-QQwsE38C63hQ,"Burgers,Gastropubs,Restaurants",The Back Abbey,http://s3-media4.ak.yelpcdn.com/bphoto/19sYSVQKzDIHEJDOJlgMPA/ms.jpg,756,Harvey Mudd College,4,CA,http://www.yelp.com/biz/the-back-abbey-claremont
o2nvKsqafexXX2OHG6hKXg,"Event Planning & Services,Party & Event Planning",UCLA Ackerman Grand Ballroom,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of California - Los Angeles,5,CA,http://www.yelp.com/biz/ucla-ackerman-grand-ballroom-los-angeles
ErMFay-6o83QB2P1k4ALAg,"Dive Bars,Bars,Nightlife",1020 Bar,http://s3-media4.ak.yelpcdn.com/bphoto/FXHg2sPBaKzCWv0m05FVTw/ms.jpg,66,Columbia University,3.5,NY,http://www.yelp.com/biz/1020-bar-new-york
2fyzojctEFmSmJZNzI1g4g,Nightlife,Art Bar,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,Brown University,2,RI,http://www.yelp.com/biz/art-bar-providence
LaW34gZqLnWjiWF8pl-tvg,"Chicken Wings,Restaurants",EveryWing's Good,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3,University of Maryland - College Park,4.5,MD,http://www.yelp.com/biz/everywings-good-college-park
gclB3ED6uk6viWlolSb_uA,"Cafes,Restaurants",Cafe 3,http://s3-media1.ak.yelpcdn.com/bphoto/AaHq1UzXiT6zDBUYrJ2NKA/ms.jpg,9,University of California at Berkeley,2,CA,http://www.yelp.com/biz/cafe-3-berkeley
aIYUBP7zfZ2t0mnx6o62vg,"Photographers,Event Planning & Services",Actors Headshots Los Angeles,http://s3-media4.ak.yelpcdn.com/bphoto/-FFrNGt3ldX4QWAb5NDXiQ/ms.jpg,2,University of Southern California,5,CA,http://www.yelp.com/biz/actors-headshots-los-angeles-los-angeles-4
G3-STn8vhQXsPObIqlBGPw,"Hotels & Travel,Restaurants,Event Planning & Services,Hotels",Ramada Inn-Ithaca-Airport,http://s3-media3.ak.yelpcdn.com/bphoto/f_u8GzDjfXhyePVsYEqA3A/ms.jpg,10,Cornell University,2.5,NY,http://www.yelp.com/biz/ramada-inn-ithaca-airport-ithaca
RU7bd3h2f6pBlf8BfAyxGQ,,Atlantis,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of Massachusetts - Amherst,5,MA,http://www.yelp.com/biz/atlantis-amherst
3WFnzu8D6S_T7guXZIOp7A,"Food,Coffee & Tea,Cafes,Restaurants",The Bauer Bakery & Cafe,http://s3-media1.ak.yelpcdn.com/bphoto/v9cbYOGD14tm6qwq9HW4oA/ms.jpg,2,University of Waterloo,3.5,ON,http://www.yelp.ca/biz/the-bauer-bakery-and-cafe-waterloo
D1NESoG1U9hVG52h7JDu0A,"Sporting Goods,Fashion,Shopping,Sports Wear",Gameday Sports,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of Illinois - Urbana-Champaign,3,IL,http://www.yelp.com/biz/gameday-sports-champaign
cHf-cu8bmM3gcvONo6B3JA,"Local Services,Dry Cleaning & Laundry",The Clothesline,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,6,University of Michigan - Ann Arbor,3.5,MI,http://www.yelp.com/biz/the-clothesline-ann-arbor
R--rV0fSLevjMwxIH6DEBQ,"Active Life,Gyms,Trainers,Fitness & Instruction",Sweat Fitness,http://s3-media4.ak.yelpcdn.com/bphoto/JVWfEI2nwuIoo3re5aTfvQ/ms.jpg,18,University of Pennsylvania,2.5,PA,http://www.yelp.com/biz/sweat-fitness-philadelphia
VE4Vi52enwiPz8SCCSHBxA,"Food,Bagels",Tasty Bagel Cafe,http://s3-media3.ak.yelpcdn.com/bphoto/QBEaZbnHildcFdJqjz-TtA/ms.jpg,3,Harvey Mudd College,4.5,CA,http://www.yelp.com/biz/tasty-bagel-cafe-claremont
TU2HIXtJ1ChIf2J4whGEyw,"Day Spas,Nail Salons,Massage,Beauty and Spas",Spa Connections,http://s3-media4.ak.yelpcdn.com/bphoto/nEAGfiia2Yd8CyBczATSdA/ms.jpg,4,University of California - Los Angeles,3.5,CA,http://www.yelp.com/biz/spa-connections-los-angeles-2
-7jsTZfNIx3Fy72Uc-AMSA,"Movers,Home Services",Death Wish Piano Movers,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,5,"Massachusetts Institute of Technology,Harvard University",4,MA,http://www.yelp.com/biz/death-wish-piano-movers-cambridge
cWC1aSv6ql0nBzHX_0a6MQ,"Delis,Restaurants",UCLA Medical Center Cafeteria,http://s3-media2.ak.yelpcdn.com/bphoto/1Dw87PObPCZ_KyHZ2o_qog/ms.jpg,12,University of California - Los Angeles,3.5,CA,http://www.yelp.com/biz/ucla-medical-center-cafeteria-los-angeles
rJHHMEHrnbsX6Y0CSi4Yxg,"Dentists,Health and Medical","Douglas Ng, DDS",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,12,California Polytechnic State University,5,CA,http://www.yelp.com/biz/douglas-ng-dds-san-luis-obispo
BJKIoQa5N2T_oDlLVf467Q,"Thai,Restaurants",Jasmine Thai,http://s3-media2.ak.yelpcdn.com/bphoto/ZwTUUb-6jkuzMDBBsUV6Eg/ms.jpg,52,University of California at Berkeley,3,CA,http://www.yelp.com/biz/jasmine-thai-berkeley
vZi4rc_ToK_LVpsP3v0-yA,"Women's Clothing,Fashion,Shopping",Momoca,http://s3-media1.ak.yelpcdn.com/bphoto/s1jDhK-3po9mWcvl8yreUQ/ms.jpg,10,University of California at Berkeley,4.5,CA,http://www.yelp.com/biz/momoca-berkeley
2KaY2WqWi9A7gVQUXSFRGQ,"Barbers,Beauty and Spas",University Ave Barbershop,http://s3-media1.ak.yelpcdn.com/bphoto/hXaebU1Ka_1_Q6BKICL_Mg/ms.jpg,16,University of Washington,4,WA,http://www.yelp.com/biz/university-ave-barbershop-seattle
jwPmerwJxt53xOv6UdsSvA,"Hotels & Travel,Event Planning & Services,Hotels",Red Roof Inns,http://s3-media3.ak.yelpcdn.com/bphoto/bAvz-iRgB51WMCMaX8PCGA/ms.jpg,2,University of Maryland - College Park,1,MD,http://www.yelp.com/biz/red-roof-inns-hyattsville
cmTtaP3LeApvz61W94Lvhg,"Gastropubs,Restaurants,Hot Dogs",Hot Dogs & Brew,http://s3-media3.ak.yelpcdn.com/bphoto/jT_2Lp_32awSQXwyHrUTyg/ms.jpg,2,University of North Carolina - Chapel Hill,5,NC,http://www.yelp.com/biz/hot-dogs-and-brew-chapel-hill
J2r4vJgdOJiDvUdQFSS9qQ,"Hair Salons,Beauty and Spas",Wish Salon,http://s3-media3.ak.yelpcdn.com/bphoto/yHNGIbXVxcnzCpHm5FaEhw/ms.jpg,3,Brown University,3.5,RI,http://www.yelp.com/biz/wish-salon-providence
n9KSfii0GCOJOhDJLAXJ7Q,"Breakfast & Brunch,Diners,Restaurants",Alexi's Diner,http://s3-media2.ak.yelpcdn.com/bphoto/nMiBBlZ0xKZNe7IYNpq7eg/ms.jpg,24,Rensselaer Polytechnic Institute,3.5,NY,http://www.yelp.com/biz/alexis-diner-troy
9m5s_UB5SZCz56hrONB43Q,"Asian Fusion,Restaurants",Pho D'Lite,http://s3-media1.ak.yelpcdn.com/bphoto/eVT6g42QpzhX7naKjTA2rw/ms.jpg,10,University of Maryland - College Park,4,MD,http://www.yelp.com/biz/pho-d-lite-college-park
V2iy6yakrK_AntVK8R7bEA,"Property Management,Home Services,Real Estate,Apartments",Savvy Properties,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,7,University of California at Berkeley,4,CA,http://www.yelp.com/biz/savvy-properties-berkeley
_A4YqG4TqZvCjBUNK-sSxw,"Libraries,Public Services & Government",Hyattsville Library,http://s3-media4.ak.yelpcdn.com/bphoto/v_pNBg9x7bbTHWRf_COrpQ/ms.jpg,2,University of Maryland - College Park,3.5,MD,http://www.yelp.com/biz/hyattsville-library-hyattsville
8SqxzaPVVBTIxrbJKZwDxg,"Food Stands,Japanese,Restaurants",Love Balls,http://s3-media4.ak.yelpcdn.com/bphoto/MmfyATHEGjyV8yEQ7TlYvg/ms.jpg,96,University of Texas - Austin,4,TX,http://www.yelp.com/biz/love-balls-austin
8lLs3dsSN-Am2_EtNfbXqA,"Breakfast & Brunch,American (New),Restaurants",Community Food & Juice,http://s3-media2.ak.yelpcdn.com/bphoto/IqKj8kMJEe8nyOeIuGRpoA/ms.jpg,346,Columbia University,3.5,NY,http://www.yelp.com/biz/community-food-and-juice-new-york
Zc3hqSZHkuELzpyRmv6nrQ,"Bars,Nightlife",Iron Post,http://s3-media3.ak.yelpcdn.com/bphoto/qHdW8vvEP30MyM8VS2pX9g/ms.jpg,14,University of Illinois - Urbana-Champaign,3,IL,http://www.yelp.com/biz/iron-post-urbana
wz3GFJrL92IqJWCE9v-BKA,,Hon Sushi,http://s3-media4.ak.yelpcdn.com/bphoto/UK_DrnV0UAQ1KOe9KrCtUA/ms.jpg,2,Princeton University,4,NJ,http://www.yelp.com/biz/hon-sushi-lawrence-township
92rpAUG_KI8lndU5obe1Uw,"Home Services,Real Estate,Apartments",Jj Land Co,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,Carnegie Mellon University,3,PA,http://www.yelp.com/biz/jj-land-co-pittsburgh
hGbtJYVdJ-EYSgXdGvps6g,"Diners,Restaurants",Red Oak Diner & Bakery,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,9,Princeton University,3.5,NJ,http://www.yelp.com/biz/red-oak-diner-and-bakery-princeton
dP-icsN34lMu6zo9A--1SA,"Cards & Stationery,Arts & Crafts,Flowers & Gifts,Shopping,Event Planning & Services",Papyrus,http://s3-media1.ak.yelpcdn.com/bphoto/cPt9gJreIqUhkevWONOsrg/ms.jpg,3,Rice University,4.5,TX,http://www.yelp.com/biz/papyrus-houston-2
dpqv-Gy6RLXXGnNrGZjOYw,"Pizza,Restaurants",Ned's Pizza,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,Cornell University,4.5,NY,http://www.yelp.com/biz/neds-pizza-ithaca-2
NZ3A0xYdnmIG68mZeZV6AA,"Dive Bars,Bars,American (Traditional),Nightlife,Restaurants",Bunny's Tavern,http://s3-media3.ak.yelpcdn.com/bphoto/kWCkkAC24c6jso12iFERbQ/ms.jpg,13,University of Illinois - Urbana-Champaign,4,IL,http://www.yelp.com/biz/bunnys-tavern-urbana
Y8C2FuA0Aiy7uMgXXa3HUg,"Barbers,Beauty and Spas",Depot Barber Shop the,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of Illinois - Urbana-Champaign,4.5,IL,http://www.yelp.com/biz/depot-barber-shop-the-champaign
XdZMqJbl-oWA_x0F_q5I_A,"Arts & Entertainment,Art Galleries,Shopping",Princeton University Art Museum,http://s3-media4.ak.yelpcdn.com/bphoto/5zLgOMHQ1YBOJ0M_xMFpkQ/ms.jpg,12,Princeton University,4.5,NJ,http://www.yelp.com/biz/princeton-university-art-museum-princeton
